Nome do destino,Código do serviço,Valor,Prazo Final
Blumenau/SC,LGG,21.05,6
Criciúma/SC,LGG,21.93,4
Criciúma/SC,LGG,15.42,5
Criciúma/SC,LGG,20.81,4
Criciúma/SC,LGG,22.63,6
Enéas Marques/PR,LGG,13.58,7
Enéas Marques/PR,LGG,10.77,8
Enéas Marques/PR,LGG,20.35,4
Enéas Marques/PR,LGG,14.55,8
Paranacity/PR,LGG,20.59,6
Paranacity/PR,LGG,9.75,5
Paranacity/PR,LGG,20.47,6
Paranacity/PR,LGG,24.01,8
Colinas do Tocantins/TO,LGG,141.15,11
Colinas do Tocantins/TO,LGG,122.97,12
Colinas do Tocantins/TO,LGG,115.44,13
São Paulo/SP,LGG,19.96,2
São Paulo/SP,LGG,12.65,3
São Paulo/SP,LGG,31.09,2
São Paulo/SP,LGG,23.5,4
Taboão da Serra/SP,LGG,21.58,2
Taboão da Serra/SP,LGG,13.5,3
Taboão da Serra/SP,LGG,29.44,2
Taboão da Serra/SP,LGG,22.32,4
Riolândia/SP,LGG,14.05,7
Riolândia/SP,LGG,8.11,8
Riolândia/SP,LGG,17.82,7
Riolândia/SP,LGG,17.84,9
Mogi das Cruzes/SP,LGG,15.2,3
Mogi das Cruzes/SP,LGG,10.07,4
Mogi das Cruzes/SP,LGG,18.17,3
Mogi das Cruzes/SP,LGG,17.5,5
Conceição/PB,LGG,101.21,13
Conceição/PB,LGG,68.15,14
Conceição/PB,LGG,75.16,13
Gravataí/RS,LGG,13.37,3
Gravataí/RS,LGG,7.71,5
Gravataí/RS,LGG,16.3,4
Gravataí/RS,LGG,15.3,6
São Paulo/SP,LGG,12.1,2
São Paulo/SP,LGG,9.24,3
São Paulo/SP,LGG,17.41,2
São Paulo/SP,LGG,14.78,4
Rio de Janeiro/RJ,LGG,19.88,6
Rio de Janeiro/RJ,LGG,15.02,7
Rio de Janeiro/RJ,LGG,32.82,6
São Paulo/SP,LGG,7.11,2
São Paulo/SP,LGG,7.04,3
São Paulo/SP,LGG,10.8,2
São Paulo/SP,LGG,10.25,4
Salvador/BA,LGG,19.06,5
Salvador/BA,LGG,17.81,6
Salvador/BA,LGG,26.27,5
Salvador/BA,LGG,22.46,7
São José dos Campos/SP,LGG,13.36,2
São José dos Campos/SP,LGG,10.15,3
São José dos Campos/SP,LGG,22.31,2
São José dos Campos/SP,LGG,16.75,4
Trindade/GO,LGG,57.68,4
Trindade/GO,LGG,18.34,5
Trindade/GO,LGG,24.35,4
Franco da Rocha/SP,LGG,12.57,3
Franco da Rocha/SP,LGG,10.06,4
Franco da Rocha/SP,LGG,23.73,3
Franco da Rocha/SP,LGG,16.12,5
São Paulo/SP,LGG,11.99,2
São Paulo/SP,LGG,9.23,3
São Paulo/SP,LGG,18.01,2
São Paulo/SP,LGG,14.68,4
Cosmópolis/SP,LGG,11.35,4
Cosmópolis/SP,LGG,8.99,4
Cosmópolis/SP,LGG,17.91,3
Cosmópolis/SP,LGG,14.77,6
Estiva/MG,LGG,14.74,7
Estiva/MG,LGG,11.88,8
Estiva/MG,LGG,19.38,7
Estiva/MG,LGG,18.27,9
São Lourenço/MG,LGG,47.66,6
São Lourenço/MG,LGG,11.95,5
São Lourenço/MG,LGG,21.97,6
