Nome do destino;Código do serviço;Valor;Prazo Final
Guaratinguetá/SP;FMT;26.29;5
Pacajá/PA;FMT;78.01;22
Porto Alegre/RS;FMT;82.89;8
Barueri/SP;FMT;18.97;5
Maceió/AL;FMT;16.49;9
Cotia/SP;FMT;20.16;6
Rio de Janeiro/RJ;FMT;29.37;6
Pinhalzinho/SP;FMT;13.29;6
São José/SC;FMT;69.47;10
Petrópolis/RJ;FMT;182.32;8
Brasília de Minas/MG;FMT;24.25;11
Ouro Preto/MG;FMT;144.93;9
Santos/SP;FMT;58.7;5
São Paulo/SP;FMT;133.19;5
São Paulo/SP;FMT;8.37;5
Campo Limpo Paulista/SP;FMT;51.25;5
Ivaiporã/PR;FMT;169.57;11
Rio de Janeiro/RJ;FMT;156.05;8
Contagem/MG;FMT;23.87;8
Rio de Janeiro/RJ;FMT;23.52;6
São Paulo/SP;FMT;12.65;5
Florianópolis/SC;FMT;25.83;8
São Paulo/SP;FMT;17.7;5
São Paulo/SP;FMT;8.21;5
Nova Santa Bárbara/PR;FMT;88.07;16
Itapecerica da Serra/SP;FMT;19.45;5
Arroio do Tigre/RS;FMT;65.74;11
Vitória da Conquista/BA;FMT;20.52;10
Florianópolis/SC;FMT;19.27;8
Cajati/SP;FMT;19.48;11
Itapoá/SC;FMT;13.12;10
São Paulo/SP;FMT;20.92;5
Sombrio/SC;FMT;15.02;10
Carapicuíba/SP;FMT;27.58;5
Itatiba/SP;FMT;9.96;5
Maringá/PR;FMT;47.29;7
Embu das Artes/SP;FMT;25.03;5
Divinópolis/MG;FMT;153.64;8
Erechim/RS;FMT;33.25;11
Porto Alegre/RS;FMT;12.35;8
Porto Alegre/RS;FMT;12.35;8
São Luiz do Norte/GO;FMT;407.02;13
Santa Cruz do Sul/RS;FMT;12.71;9
Campinas/SP;FMT;15.25;5
Rio do Sul/SC;FMT;13.1;12
São Paulo/SP;FMT;30.45;5
Curitiba/PR;FMT;15.31;7
Nepomuceno/MG;FMT;116.43;9
Porto Seguro/BA;FMT;18.42;15
Itajaí/SC;FMT;17.03;8
Porto Alegre/RS;FMT;81.36;8
Santa Vitória do Palmar/RS;FMT;528.79;13
Alvorada/RS;FMT;48.15;8
Indaiatuba/SP;FMT;31.19;5
Guarulhos/SP;FMT;19.77;6
São José dos Pinhais/PR;FMT;75.38;7
Pato Branco/PR;FMT;75.33;12
Agudo/RS;FMT;79.67;9
Urubici/SC;FMT;29.02;13
São Paulo/SP;FMT;66.03;5
São Paulo/SP;FMT;79.44;5
Pompéu/MG;FMT;42.56;10
São Paulo/SP;FMT;79.44;5
Ituiutaba/MG;FMT;75.08;9
Salto/SP;FMT;57.48;6
Cuiabá/MT;FMT;197.91;9
São Paulo/SP;FMT;29.23;5
Piracicaba/SP;FMT;163.9;5
Rio de Janeiro/RJ;FMT;60.42;6
São Paulo/SP;FMT;42.09;5
Sorocaba/SP;FMT;138.74;5
Luziânia/GO;FMT;186.17;9
Pedreira/SP;FMT;160.33;6
Brasília/DF;FMT;157.62;8
Juiz de Fora/MG;FMT;161.24;7
Rio de Janeiro/RJ;FMT;137.64;6
Itabira/MG;FMT;146.16;9
Goiânia/GO;FMT;171.78;8
Niterói/RJ;FMT;106.17;6
Curitiba/PR;FMT;156.43;7
Belo Horizonte/MG;FMT;154.59;7
Caratinga/MG;FMT;25.29;9
Itaúna/MG;FMT;169.51;9
Botucatu/SP;FMT;158.43;5
São José/SC;FMT;26.62;10
Paulo Frontin/PR;FMT;383.95;16
Coronel Vivida/PR;FMT;20.69;11
São Paulo/SP;FMT;31.86;5
Florianópolis/SC;FMT;68.17;8
Taquaritinga/SP;FMT;47.56;7
Itajubá/MG;FMT;73.65;8
Contagem/MG;FMT;190.02;8
Bebedouro/SP;FMT;62.35;6
Brasília/DF;FMT;25.76;7
Tatuí/SP;FMT;142.6;5
Barão de Cocais/MG;FMT;75.48;13
Itaguara/MG;FMT;130.5;10
Santa Maria de Jetibá/ES;FMT;189.53;13
Belo Horizonte/MG;FMT;64;7
Santo André/SP;FMT;59.93;5
Ponta Grossa/PR;FMT;124.81;9
Teresópolis/RJ;FMT;75.36;11
Limeira/SP;FMT;159.45;5
Indaial/SC;FMT;104.04;10
São Paulo/SP;FMT;145.11;5
Brusque/SC;FMT;191.26;10
Ametista do Sul/RS;FMT;405.8;14
Pelotas/RS;FMT;134.44;9
São Bernardo do Campo/SP;FMT;100.12;5
São Paulo/SP;FMT;42.02;5
Belo Horizonte/MG;FMT;65.59;7
Sacramento/MG;FMT;73.9;9
Belo Horizonte/MG;FMT;38.26;7
Curitiba/PR;FMT;42.92;7
Ronda Alta/RS;FMT;84.02;14
Boituva/SP;FMT;70.56;6
São Paulo/SP;FMT;14.27;5
Curitiba/PR;FMT;102.03;7
Videira/SC;FMT;112.92;14
José Bonifácio/SP;FMT;104.49;8
Paraju/ES;FMT;129.93;12
Esteio/RS;FMT;202.75;8
Carapicuíba/SP;FMT;76.27;5
Otacílio Costa/SC;FMT;80.05;10
Ribeirão Preto/SP;FMT;71.92;5
Erechim/RS;FMT;94.81;11
Tupã/SP;FMT;71.92;6
Bragança Paulista/SP;FMT;58.34;5
Turvo/SC;FMT;79.54;12
Indaial/SC;FMT;45.62;10
Balneário Camboriú/SC;FMT;49.27;8
Jundiaí/SP;FMT;41.78;5
Nova Palma/RS;FMT;79.67;12
Ribeirão das Neves/MG;FMT;75.08;9
Curitiba/PR;FMT;68.74;7
Paulínia/SP;FMT;58.7;5
Venâncio Aires/RS;FMT;79.62;9
Mauá/SP;FMT;58.65;5
Limeira/SP;FMT;58.7;5
Pelotas/RS;FMT;79.62;9
Campinas/SP;FMT;58.7;5
Osasco/SP;FMT;58.7;5
Birigui/SP;FMT;71.8;5
Porto Alegre/RS;FMT;49.87;8
Campo Limpo Paulista/SP;FMT;58.7;5
Maringá/PR;FMT;75.38;7
Goiânia/GO;FMT;77.27;8
Poços de Caldas/MG;FMT;75.01;8
Guará/SP;FMT;71.75;6
Campinas/SP;FMT;58.7;5
Itapema/SC;FMT;26.95;7
São Paulo/SP;FMT;50.85;5
Patrocínio/MG;FMT;24.39;10
Brasília/DF;FMT;32.56;7
Santiago/RS;FMT;61.73;11
Santo Antônio da Patrulha/RS;FMT;49.32;10
Itatiba/SP;FMT;44.29;5
Jarinu/SP;FMT;44.29;7
Jandira/SP;FMT;33.1;5
Toledo/PR;FMT;42.59;10
Vargeão/SC;FMT;49.27;12
Mogi Mirim/SP;FMT;248.73;5
Ilhota/SC;FMT;38.5;13
Pongaí/SP;FMT;72.8;8
Mogi Guaçu/SP;FMT;33.1;5
São Paulo/SP;FMT;29;5
Natal/RN;FMT;15.5;11
Barueri/SP;FMT;27.19;5
Rio Grande/RS;FMT;36.27;9
Contagem/MG;FMT;32.74;8
Rio de Janeiro/RJ;FMT;39.46;10
Palhoça/SC;FMT;25.87;9
Alto Jequitibá/MG;FMT;167.92;14
Bauru/SP;FMT;31.07;5
Santos/SP;FMT;24.45;5
Francisco Beltrão/PR;FMT;116.11;11
Bauru/SP;FMT;129.94;5
Pitanga/PR;FMT;136.87;10
Rancharia/SP;FMT;101.73;7
Santos/SP;FMT;89.14;5
Salvador/BA;FMT;187.26;8
Limeira/SP;FMT;89.14;5
Curitiba/PR;FMT;46.28;7
Santo André/SP;FMT;89.14;5
Bauru/SP;FMT;62.24;5
Rio de Janeiro/RJ;FMT;71.2;6
Caratinga/MG;FMT;145.14;9
Ibotirama/BA;FMT;317.19;13
São Paulo/SP;FMT;64.63;5
São José/SC;FMT;270.37;10
Porto Alegre/RS;FMT;55.04;8
Presidente Getúlio/SC;FMT;97.38;11
Tubarão/SC;FMT;145.66;9
Belo Horizonte/MG;FMT;53.09;7
Ivaí/PR;FMT;214.13;16
Curitiba/PR;FMT;53.25;7
Leme/SP;FMT;57.34;5
Santo André/SP;FMT;41.71;5
Belo Horizonte/MG;FMT;63.78;11
Belo Horizonte/MG;FMT;53.09;7
São José do Rio Preto/SP;FMT;73.76;6
Atibaia/SP;FMT;66.02;5
Duque de Caxias/RJ;FMT;62.35;10
Ituverava/SP;FMT;54.03;6
São Paulo/SP;FMT;70.57;5
São Paulo/SP;FMT;45.05;5
Xanxerê/SC;FMT;39.49;9
Jacuí/MG;FMT;291.61;14
Tiradentes/MG;FMT;228.99;13
Niterói/RJ;FMT;59.84;6
São Paulo/SP;FMT;32.84;5
São Paulo/SP;FMT;45.05;5
Lima Duarte/MG;FMT;34.92;8
Jundiaí/SP;FMT;42.08;5
Valinhos/SP;FMT;33.92;5
São Paulo/SP;FMT;31.77;5
São Paulo/SP;FMT;21.27;5
São José dos Pinhais/PR;FMT;20.85;7
Guarulhos/SP;FMT;33.86;5
Vila Velha/ES;FMT;16.01;7
Osasco/SP;FMT;24.78;5
Pedro Leopoldo/MG;FMT;65.51;9
Curitiba/PR;FMT;23.94;7
Timbó/SC;FMT;79.08;10
Jundiaí/SP;FMT;115.57;5
Mauá/SP;FMT;32.57;5
São Paulo/SP;FMT;21.58;5
Florianópolis/SC;FMT;25.83;8
Belo Horizonte/MG;FMT;24.14;7
São Paulo/SP;FMT;23.1;5
Olímpia/SP;FMT;30.33;8
Sarandi/PR;FMT;24.7;9
Rio de Janeiro/RJ;FMT;32.69;6
Vitória/ES;FMT;23.54;7
Belo Horizonte/MG;FMT;24.15;7
Nova Tebas/PR;FMT;131.2;16
Maricá/RJ;FMT;25.06;8
Sinop/MT;FMT;40.45;12
Piratini/RS;FMT;49.78;11
São Paulo/SP;FMT;49.51;5
São Paulo/SP;FMT;50.61;5
Limeira/SP;FMT;25.49;5
Chapecó/SC;FMT;79.92;8
Rio de Janeiro/RJ;FMT;32.69;7
Pelotas/RS;FMT;79.67;9
Indaiatuba/SP;FMT;58.7;5
Porto Alegre/RS;FMT;118.1;8
Arapongas/PR;FMT;35.5;10
Potim/SP;FMT;70.41;7
Campinas/SP;FMT;15.55;5
Santo André/SP;FMT;30.77;5
Itapetininga/SP;FMT;19.83;5
Seara/SC;FMT;143.56;9
Sete Lagoas/MG;FMT;21.01;10
