Nome do destino,Código do serviço,Valor,Prazo Final
Jaú/SP,LGG,17.44,3
Jaú/SP,LGG,15.04,5
Franca/SP,LGG,10.46,3
Franca/SP,LGG,8.24,4
Franca/SP,LGG,13.95,3
Franca/SP,LGG,13.71,5
São Paulo/SP,LGG,9.84,2
São Paulo/SP,LGG,8.11,3
São Paulo/SP,LGG,15.02,2
São Paulo/SP,LGG,12.63,4
Campinas/SP,LGG,13.23,2
Campinas/SP,LGG,9.06,3
Campinas/SP,LGG,18.58,2
Campinas/SP,LGG,15.66,4
Rio de Janeiro/RJ,LGG,11.25,6
Rio de Janeiro/RJ,LGG,8.89,7
Rio de Janeiro/RJ,LGG,18.87,6
Louveira/SP,LGG,10.31,3
Louveira/SP,LGG,13.76,3
Louveira/SP,LGG,13.6,5
Contagem/MG,LGG,14.81,3
Contagem/MG,LGG,11.93,4
Contagem/MG,LGG,21.85,3
Contagem/MG,LGG,17.51,4
Bauru/SP,LGG,15.08,3
Bauru/SP,LGG,10.35,4
Bauru/SP,LGG,21.24,3
Bauru/SP,LGG,17.41,5
São Paulo/SP,LGG,11.99,2
São Paulo/SP,LGG,9.33,3
São Paulo/SP,LGG,17.25,2
São Paulo/SP,LGG,14.68,4
São José dos Pinhais/PR,LGG,14.85,3
São José dos Pinhais/PR,LGG,7.75,4
São José dos Pinhais/PR,LGG,19.89,1
São José dos Pinhais/PR,LGG,16.38,5
Belo Horizonte/MG,LGG,16.99,3
Belo Horizonte/MG,LGG,11.67,4
Belo Horizonte/MG,LGG,21.76,3
Belo Horizonte/MG,LGG,18.2,4
Campinas/SP,LGG,15.08,2
Campinas/SP,LGG,10.06,3
Campinas/SP,LGG,21.24,2
Campinas/SP,LGG,17.41,4
Bragança Paulista/SP,LGG,13.13,3
Bragança Paulista/SP,LGG,9.05,4
Bragança Paulista/SP,LGG,19.61,3
Bragança Paulista/SP,LGG,15.58,5
Mineiros/GO,LGG,47.64,7
Mineiros/GO,LGG,42.61,10
Rio de Janeiro/RJ,LGG,19.52,3
Rio de Janeiro/RJ,LGG,13.48,4
Rio de Janeiro/RJ,LGG,27.82,3
Rio de Janeiro/RJ,LGG,20.71,2
Porto Ferreira/SP,LGG,20.49,3
Porto Ferreira/SP,LGG,12.64,4
Porto Ferreira/SP,LGG,30.82,3
Porto Ferreira/SP,LGG,22.12,5
Bauru/SP,LGG,11.35,3
Bauru/SP,LGG,9.3,4
Bauru/SP,LGG,16.67,3
Bauru/SP,LGG,14.77,5
Pedreira/SP,LGG,13.13,4
Pedreira/SP,LGG,9.05,5
