Nome do destino;Código do serviço;Valor;Prazo Final
Pato Branco/PR;EXP;12913.21;999
Pato Branco/PR;NEX;22.85;8
Pato Branco/PR;JET;12.93;7
Pato Branco/PR;AZC;23.04;4
Pato Branco/PR;RSU;10.91;5
Pato Branco/PR;PMC;31.06;7
Pato Branco/PR;S2C;24.39;7
Pato Branco/PR;DLO;16.57;7
Vitória/ES;MDLOGG;22.16;10
Vitória/ES;GFL;11.79;4
Vitória/ES;GFL;14.48;4
Vitória/ES;LGG;18.81;3
Vitória/ES;LGG;18.03;5
Vitória/ES;LGG;26.86;4
Vitória/ES;LGG;20.14;5
Vitória/ES;GFL;14.48;4
Vitória/ES;BPS;16.06;8
Vitória/ES;ROD;14.84;5
Vitória/ES;EXP;10752.68;999
Vitória/ES;EXP;11562.02;999
Vitória/ES;DAY;54.98;2
Vitória/ES;NEX;18.68;6
Vitória/ES;JET;11.92;6
Vitória/ES;AZC;22.13;3
Vitória/ES;ITL;12.93;5
Vitória/ES;PMC;27.93;5
Vitória/ES;S2C;22.25;5
Vitória/ES;DLO;15.04;5
Bragança Paulista/SP;MDLOGG;16.32;2
Bragança Paulista/SP;GFL;11.03;3
Bragança Paulista/SP;GFL;11.55;2
Bragança Paulista/SP;LGG;14.37;3
Bragança Paulista/SP;LGG;11.22;4
Bragança Paulista/SP;LGG;21.27;3
Bragança Paulista/SP;LGG;16.56;5
Bragança Paulista/SP;GFL;11.55;2
Bragança Paulista/SP;BPS;14.69;9
Bragança Paulista/SP;ROD;9.94;4
Bragança Paulista/SP;EXP;11363.63;999
Bragança Paulista/SP;EXP;12913.21;999
Bragança Paulista/SP;NEX;13.87;5
