Código do Pedido;Cidade do destino;UF do destino;Código do serviço;Valor;Prazo Final
0012406992410;Fortaleza;CE;JET;14.34;9
0012406556145;São Paulo;SP;JET;9.61;3
0012406742968;São Paulo;SP;JET;9.61;3
0012406587315;São José dos Ramos;PB;JET;16.61;15
0012406642873;Pelotas;RS;JET;11.24;4
0012406679270;Rio de Janeiro;RJ;JET;13.32;4
0012406226343;Catu;BA;JET;18.99;9
0012406652159;Fortaleza;CE;JET;19.96;9
0012406385772;Juiz de Fora;MG;GFL;14.48;6
0012406014679;Barueri;SP;GFL;10.57;2
0012406271070;Mauá;SP;GFL;10.64;2
0012406738470;Mariana;MG;JET;13.47;8
0012406546399;Tremembé;SP;JET;10.74;6
0012406247392;Petrolina;PE;JET;16.7;11
0012406531106;Betim;MG;GFL;10.3;4
0012406109226;Itaúna;MG;GFL;12.55;8
0012406898042;Belo Horizonte;MG;GFL;12.85;3
0012406090131;Juiz de Fora;MG;JET;11.14;6
0012406476925;Rio de Janeiro;RJ;GFL;10.74;3
0012406016226;Guarujá;SP;JET;10.18;5
0012406688306;São João de Meriti;RJ;JET;11.37;8
0012406025784;Cruzeiro do Sul;AC;JET;38.49;13
0012406837822;São Paulo;SP;JET;11.44;4
0012406825027;Cotia;SP;JET;10.18;4
0012406691961;Rio Verde;GO;JET;12.67;18
0012406202125;São Paulo;SP;S2C;10.06;3
0012406420412;Jaboatão dos Guararapes;PE;JET;16.38;9
0012406480314;Belo Horizonte;MG;GFL;12.61;3
0012406524472;Garanhuns;PE;JET;17.4;11
0012406812869;Canoas;RS;S2C;15.13;7
0012406597168;São Paulo;SP;JET;9.92;3
0012406992382;Rio de Janeiro;RJ;JET;10.77;4
0012406725143;Taboão da Serra;SP;GFL;14.59;2
0012406798093;Mauá;SP;JET;10.43;3
0012406408752;Alfenas;MG;GFL;11.3;8
0012406750383;Recife;PE;JET;15.25;7
0012406447175;Guaratinguetá;SP;JET;11.33;5
0012406849360;Belo Horizonte;MG;JET;10.65;5
0012406612269;São Paulo;SP;JET;9.92;3
0012406860552;Barra do Piraí;RJ;JET;11.45;7
0012406512702;Serra;ES;JET;9.72;7
0012406391348;São José dos Campos;SP;JET;9.95;4
0012406581571;Rio de Janeiro;RJ;JET;11.8;5
0012406887375;Hortolândia;SP;JET;10.18;5
0012406441839;Porto Alegre;RS;JET;10.51;3
0012406781581;São Carlos;SP;JET;10.18;5
0012406153233;Mauá;SP;JET;9.95;3
0012406947362;Lídice;RJ;JET;14.45;7
0012406420764;João Pessoa;PB;JET;14.97;9
0012406176837;Ubatuba;SP;JET;10.89;6
0012406674166;São Paulo;SP;JET;9.92;4
0012406447373;Marianópolis do Tocantins;TO;JET;34.29;22
0012406734421;Pouso Alegre;MG;GFL;11.3;6
0012406977503;Nova Andradina;MS;JET;21.96;12
0012406733938;Cuiabá;MT;JET;12.99;8
0012406592186;São Paulo;SP;JET;9.92;4
0012406069241;Barra Mansa;RJ;GFL;11.76;4
0012406141732;São Paulo;SP;JET;9.92;3
0012406130126;Rio de Janeiro;RJ;JET;13.74;4
0012406800316;Barra Mansa;RJ;GFL;11.76;4
0012406785989;Santa Luzia;MG;GFL;10.94;5
0012406740443;Umuarama;PR;RSU;10.23;5
0012406073723;São Paulo;SP;S2C;9.89;2
0012406476242;Cuiabá;MT;JET;16.31;8
0012406446073;Salvador;BA;JET;16.05;7
0012406976248;Salto;SP;GFL;11.41;2
0012406953107;Lontras;SC;RSU;10.75;5
0012406948245;Juína;MT;JET;17.3;12
0012406154437;Aparecida de Goiânia;GO;JET;12.15;6
0012406601881;Limeira;SP;JET;10.14;5
0012406041829;São Paulo;SP;S2C;10.06;2
0012406921025;Rio de Janeiro;RJ;JET;14.04;4
0012406836873;Belo Horizonte;MG;GFL;14.08;3
0012406171377;Primavera do Leste;MT;JET;17.19;11
0012406299066;Montes Claros;MG;JET;12.34;7
0012406238138;São Paulo;SP;JET;9.92;3
0012406140363;Dumont;SP;JET;12.65;5
0012406722889;Palmas;TO;JET;19.15;9
0012406530166;Brasília;DF;GFL;13.28;4
0012406190144;Capanema;PA;GFL;28.85;16
0012406899033;Alto Araguaia;MT;JET;19.96;12
0012406294217;Gravatá;PE;JET;17.47;12
0012406057260;Belo Horizonte;MG;GFL;12.57;3
0012406797929;Luís Eduardo Magalhães;BA;JET;15.3;11
0012406281202;Arapiraca;AL;JET;16.97;11
0012406670134;Campinas;SP;JET;9.81;3
0012406499727;Brasília;DF;GFL;13.59;4
0012406756026;Catolé da Pista;CE;JET;18.38;16
0012406205289;Contagem;MG;GFL;10.67;5
0012406519201;Várzea Paulista;SP;JET;11.33;6
0012406670645;São Paulo;SP;JET;9.92;3
0012406143468;Conchal;SP;GFL;12.35;2
0012406279551;Taubaté;SP;JET;10.76;5
0012406900554;Belém;PA;JET;16.59;13
0012406705223;Guarulhos;SP;JET;9.95;3
0012406441365;Maranguape;CE;JET;23.42;12
0012406160975;Dias D'Ávila;BA;JET;16.39;9
0012406276947;Ilhéus;BA;JET;14.84;10
0012406656015;Teodoro Sampaio;SP;GFL;11.88;3
0012406554692;Blumenau;SC;JET;9.81;2
0012406817579;Vitória;ES;JET;11.93;6
0012406127970;Cabo Frio;RJ;JET;10.88;6
0012406910590;Brasília;DF;JET;12.08;5
0012406890188;Teresina;PI;JET;15.63;10
0012406651319;Mirassol;SP;JET;12.81;6
0012406702298;Brasília;DF;JET;13.99;6
0012406844676;Icapuí;CE;JET;18.14;18
0012406149755;Rio de Janeiro;RJ;JET;11.67;5
0012406803400;Campo Grande;MS;JET;12.03;10
0012406272477;Pilar do Sul;SP;JET;12.39;6
0012406382101;Guarulhos;SP;GFL;11.65;2
0012406090573;São Vicente;SP;S2C;12.5;3
0012406630350;Resende;RJ;GFL;12.03;6
0012406747299;Ibitinga;SP;GFL;11.88;2
0012406030152;Viçosa;MG;GFL;13.12;5
0012406783313;São Paulo;SP;JET;9.92;4
0012406065134;Rondonópolis;MT;JET;15.76;10
0012406103923;Juazeiro do Norte;CE;JET;16.61;14
0012406353273;São Paulo;SP;GFL;12.2;2
0012406577024;Aguaí;SP;GFL;10.81;2
